Date of ,Location of ,Violation,Violation Base,Amount Due/
11/13/15,Main Gate Garage,Parking Permit Vio,50,0
11/13/15,Main Gate Garage,Park/Improper Area,60,0
11/13/15,Main Gate Garage,Parking Permit Vio,50,0
11/13/15,Main Gate Garage,Parking Permit Vio,50,0
11/13/15,Main Gate Garage,Parking Permit Vio,50,0
11/13/15,Main Gate Garage,Parking Permit Vio,50,0
11/13/15,Main Gate Garage,Parking Permit Vio,50,0
11/13/15,Main Gate Garage,Parking Permit Vio,50,70
11/13/15,Main Gate Garage,Parking Permit Vio,50,0
11/13/15,Svc & Disabled 5073,Service Space,60,0
11/13/15,Svc & Disabled 1142,Service Space,60,80
11/13/15,Lot Specific 4052,Parking Permit Vio,50,0
11/13/15,Lot Specific 4052,Parking Permit Vio,50,0
11/13/15,Lot Specific 4052,Parking Permit Vio,50,0
11/13/15,Lot Specific 4052,Park/Improper Area,60,0
11/13/15,Lot Specific 4052,Parking Permit Vio,50,0
11/13/15,Lot Specific 4052,Parking Permit Vio,50,0
11/13/15,Lot Specific 4052,Parking Permit Vio,50,0
11/13/15,1st Street,Meter Violation,50,0
11/13/15,Lot Specific 5072,Parking Permit Vio,50,0
11/13/15,Lot Specific 5072,Park/Improper Area,60,0
11/13/15,Lot Specific 5072,Parking Permit Vio,50,70
11/13/15,Lot Specific 5072,Park/Improper Area,60,0
11/13/15,Z1 1018,Parking Permit Vio,50,0
11/13/15,Z1 1018,Parking Permit Vio,50,0
11/13/15,Z1 1018,Parking Permit Vio,50,0
11/13/15,Lot Specific 5072,Meter Violation,50,0
11/13/15,Lot Specific 2012,Parking Permit Vio,50,0
11/13/15,Lot Specific 2012,Parking Permit Vio,50,0
11/13/15,Lot Specific 2012,Meter Violation,50,0
11/13/15,Warren Avenue North,Meter Violation,50,0
11/13/15,Warren Avenue North,Meter Violation,50,0
11/13/15,Warren Avenue North,Meter Violation,50,0
11/13/15,Warren Avenue North,Meter Violation,50,70
11/13/15,UMC Employee Health,Service Space,60,0
11/13/15,UMC Employee Health,Service Space,60,0
11/13/15,Z1 2030,Parking Permit Vio,50,0
11/13/15,Z1 2030,Parking Permit Vio,50,0
11/13/15,Z1 2030,Parking Permit Vio,50,0
11/13/15,Z1 2030,Parking Permit Vio,50,0
11/13/15,1200 Block Martin,Park/Improper Area,60,0
11/13/15,Z1 2030,Meter Violation,50,0
11/13/15,Z1 2030,Parking Permit Vio,50,70
11/13/15,Lot Specific 5072,Meter Violation,50,0
11/13/15,Metered Lot 6088,Meter Violation,50,0
11/13/15,Metered Lot 6088,Meter Violation,50,70
11/13/15,Metered Lot 6088,Meter Violation,50,70
11/13/15,Cherry Avenue,Meter Violation,50,70
11/13/15,Lot Specific 4052,Parking Permit Vio,50,0
11/13/15,Z1 2030,Parking Permit Vio,50,70
11/13/15,Z1 2030,Parking Permit Vio,50,0
11/13/15,Lot Specific 4052,Parking Permit Vio,50,0
11/13/15,Z1 2030,Park/Improper Area,60,0
11/13/15,Z1 2030,Parking Permit Vio,50,0
11/13/15,Z1 2030,Parking Permit Vio,50,0
11/13/15,Z1 2030,Parking Permit Vio,50,0
11/13/15,Z1 2030,Parking Permit Vio,50,0
11/13/15,Z1 2030,Parking Permit Vio,50,0
11/13/15,Lot Specific 5072,Parking Permit Vio,50,0
11/13/15,Z1 1172,Parking Permit Vio,50,0
11/13/15,Z1 1115,Parking Permit Vio,50,0
11/13/15,Lot Specific 5067,Parking Permit Vio,50,0
11/13/15,Lot Specific 1157,Park/Improper Area,60,0
11/13/15,Lot Specific 5067,Parking Permit Vio,50,0
11/13/15,Lot Specific 5067,Parking Permit Vio,50,0
11/13/15,Lot Specific 3039,Parking Permit Vio,50,0
11/13/15,Lot Specific 3039,Parking Permit Vio,50,0
11/13/15,Lot Specific 2012,Parking Permit Vio,50,70
11/13/15,Lot Specific 6093,Park/Improper Area,60,0
11/13/15,Lot Specific 6093,Park/Improper Area,60,0
11/13/15,Lot Specific 3231,Parking Permit Vio,50,0
11/13/15,Lot Specific 2012,Meter Violation,50,0
11/13/15,Lot Specific 3233,Parking Permit Vio,50,0
11/13/15,Cherry Avenue,Meter Violation,50,0
11/13/15,Lot Specific 3233,Parking Permit Vio,50,70
11/13/15,Main Gate Garage,Parking Over Line,60,0
11/13/15,Main Gate Garage,Parking Over Line,60,0
11/13/15,Main Gate Garage,Parking Over Line,60,0
11/13/15,Main Gate Garage,Parking Over Line,60,0
11/13/15,Main Gate Garage,Parking Over Line,60,0
11/13/15,Main Gate Garage,Parking Over Line,60,0
11/13/15,Lot Specific 6098,Parking Permit Vio,50,0
11/13/15,Main Gate Garage,Parking Over Line,60,0
11/13/15,Main Gate Garage,Parking Over Line,60,0
11/13/15,Z1 2030,Meter Violation,50,20
11/13/15,Z1 2030,Meter Violation,50,0
11/13/15,Lot Specific 6097,Parking Permit Vio,50,0
11/13/15,Z1 2030,Meter Violation,50,0
11/13/15,Z1 2030,Meter Violation,50,0
11/13/15,Lot Specific 6097,Parking Permit Vio,50,0
11/13/15,Lot Specific 5072,Park/Improper Area,60,0
11/13/15,Lot Specific 6090,Parking Permit Vio,50,0
11/13/15,Lot Specific 6090,Parking Permit Vio,50,0
11/13/15,Z1 2021,Parking Permit Vio,50,0
11/13/15,Z1 2021,Parking Permit Vio,50,70
11/13/15,Lot Specific 6090,Parking Permit Vio,50,0
11/13/15,Second Street Garage,Parking Over Line,60,0
11/13/15,Second Street Garage,Parking Over Line,60,0
11/13/15,Second Street Garage,Parking Over Line,60,0
11/13/15,Learning Services,Prohibited Parking,85,20
11/13/15,Lot Specific 4052,Parking Permit Vio,50,0
11/13/15,James E Rogers Way,Meter Violation,50,70
11/13/15,James E Rogers Way,Meter Violation,50,0
11/13/15,1st Street,Service Space,60,0
11/13/15,Lot Specific 3231,Park/Improper Area,60,0
11/13/15,Lot Specific 3113,Park/Improper Area,60,0
11/13/15,Lot Specific 6090,W/C Space/Access - 1DA,500,200
11/13/15,Lot Specific 3039,Parking Permit Vio,50,0
11/13/15,Z1 2021,Parking Permit Vio,50,0
11/13/15,Second Street Garage,Boot Fee - 1QA,80,0
11/13/15,Lot Specific 6098,Park/Improper Area,60,0
11/13/15,Lot Specific 6098,Park/Improper Area,60,0
11/13/15,Lot Specific 6098,Park/Improper Area,60,0
11/13/15,Lot Specific 6098,Park/Improper Area,60,0
11/13/15,Lot Specific 6098,Park/Improper Area,60,0
11/13/15,Lot Specific 6098,Park/Improper Area,60,0
11/13/15,Lot Specific 6098,Park/Improper Area,60,0
11/13/15,Lot Specific 6098,Park/Improper Area,60,80
11/13/15,Lot Specific 6093,Park/Improper Area,60,80
11/13/15,Lot Specific 6093,Park/Improper Area,60,0
11/13/15,Lot Specific 6093,Park/Improper Area,60,80
11/13/15,Svc & Disabled 5183,Service Space,60,0
11/13/15,Svc & Disabled 5183,Service Space,60,0
11/13/15,Svc & Disabled 5183,Service Space,60,0
11/13/15,Svc & Disabled 5183,Service Space,60,0
11/13/15,Svc & Disabled 5183,Service Space,60,0
11/14/15,Lot Specific 6090,Park/Improper Area,60,80
11/14/15,Lot Specific 4052,Park/Improper Area,60,20
11/14/15,Lot Specific 6090,Park/Improper Area,60,80
11/14/15,Lot Specific 4052,Park/Improper Area,60,0
11/14/15,Lot Specific 4052,Park/Improper Area,60,0
11/14/15,Lot Specific 6090,Park/Improper Area,60,0
11/14/15,Lot Specific 4052,Park/Improper Area,60,80
11/14/15,Lot Specific 4052,Park/Improper Area,60,20
11/14/15,Lot Specific 4052,Park/Improper Area,60,0
11/14/15,Lot Specific 6090,Park/Improper Area,60,0
11/14/15,Lot Specific 6090,Park/Improper Area,60,0
11/14/15,Lot Specific 4052,Park/Improper Area,60,0
11/14/15,Lot Specific 4052,Prohibited Parking,85,0
11/14/15,Cherry Avenue Garage,W/C Space/Access - 1DA,500,0
11/14/15,Cherry Avenue Garage,Parking Over Line,60,0
11/14/15,Cherry Avenue Garage,Prohibited Parking,85,105
11/15/15,Lot Specific 5067,Overtime,50,0
11/15/15,Lot Specific 5067,Parking Over Line,60,0
11/15/15,Main Gate Garage,Parking Over Line,60,0
11/15/15,Main Gate Garage,Parking Over Line,60,0
11/15/15,Main Gate Garage,Parking Over Line,60,0
11/15/15,Main Gate Garage,Parking Over Line,60,0
11/15/15,Highland Avenue Garage,Parking Over Line,60,0
11/15/15,Svc & Disabled 1142,Overtime,50,0
11/15/15,Svc & Disabled 1142,Overtime,50,70
11/15/15,Tyndall Ave Garage,Overtime,50,70
11/15/15,Tyndall Ave Garage,Overtime,50,0
11/15/15,Tyndall Ave Garage,Overtime,50,70
11/15/15,Tyndall Ave Garage,Overtime,50,0
11/15/15,Tyndall Ave Garage,Overtime,50,70
11/16/15,Park Avenue Garage,Parking Permit Vio,50,0
11/16/15,Park Avenue Garage,Parking Permit Vio,50,0
11/16/15,Park Avenue Garage,Parking Permit Vio,50,70
11/16/15,Park Avenue Garage,Parking Permit Vio,50,0
11/16/15,Park Avenue Garage,Parking Permit Vio,50,0
11/16/15,Second Street Garage,Parking Permit Vio,50,70
11/16/15,Second Street Garage,Parking Permit Vio,50,0
11/16/15,Highland Avenue Garage,Parking Permit Vio,50,0
11/16/15,James E Rogers Way,Service Space,60,0
11/16/15,Svc & Disabled 5073,Overtime,50,0
11/16/15,1000 Block E 4th Street,Parking Permit Vio,50,0
11/16/15,1000 Block E 4th Street,Parking Permit Vio,50,0
11/16/15,1000 Block E 4th Street,Parking Permit Vio,50,0
11/16/15,Svc & Disabled 3140,Park/Improper Area,60,80
11/16/15,Lot Specific 5070,Parking Permit Vio,50,0
11/16/15,Lot Specific 5070,Parking Permit Vio,50,0
11/16/15,Lot Specific 5070,Parking Permit Vio,50,20
11/16/15,Lot Specific 5072,Park/Improper Area,60,0
11/16/15,Lot Specific 5072,Parking Permit Vio,50,0
11/16/15,Lot Specific 5072,Parking Permit Vio,50,70
11/16/15,Lot Specific 5072,Meter Violation,50,0
11/16/15,Lot Specific 5072,Meter Violation,50,0
11/16/15,1000 Block E 4th Street,Parking Permit Vio,50,0
11/16/15,Lot Specific 4052,Parking Permit Vio,50,0
11/16/15,Lot Specific 4052,Parking Permit Vio,50,0
11/16/15,Sixth Street Garage,Prohibited Use/Permit,400,0
11/16/15,Lot Specific 3039,Park/Improper Area,60,0
11/16/15,Lot Specific 3039,Parking Permit Vio,50,0
11/16/15,James E Rogers Way,Meter Violation,50,70
11/16/15,2nd Street,Meter Violation,50,0
11/16/15,University Svs Annex East,Parking Permit Vio,50,0
11/16/15,1st Street,Service Space,60,0
11/16/15,Warren Avenue North,Meter Violation,50,0
11/16/15,University Svs Annex East,Parking Permit Vio,50,70
11/16/15,Warren Avenue North,Meter Violation,50,20
11/16/15,Svc & Disabled 5075,Overtime,50,0
11/16/15,USA Employee West Lots,Parking Permit Vio,50,0
11/16/15,USA Employee West Lots,Parking Permit Vio,50,0
11/16/15,USA Employee West Lots,Parking Permit Vio,50,0
11/16/15,USA Employee West Lots,Parking Permit Vio,50,0
11/16/15,Communication/CESL,Overtime,50,70
11/16/15,Z1 2030,Parking Permit Vio,50,0
11/16/15,Communication/CESL,Overtime,50,70
11/16/15,James E Rogers Way,Parking Permit Vio,50,0
11/16/15,Z1 2030,Meter Violation,50,70
11/16/15,Z1 2030,Meter Violation,50,0
11/16/15,Svc & Disabled 3140,Overtime,50,70
11/16/15,Lot Specific 2029,Parking Permit Vio,50,0
11/16/15,Z1 2021,Parking Permit Vio,50,0
11/16/15,Lot Specific 5067,Parking Permit Vio,50,0
11/16/15,Z1 1018,Parking Permit Vio,50,0
11/16/15,Z1 2021,Parking Permit Vio,50,0
11/16/15,Enke Drive,Meter Violation,50,0
11/16/15,Z1 2021,Parking Permit Vio,50,0
11/16/15,Z1 2032,Overtime,50,0
11/16/15,Lot Specific 3039,Park/Improper Area,60,0
11/16/15,Lot Specific 1016,Parking Permit Vio,50,0
11/16/15,Lot Specific 6093,Parking Permit Vio,50,0
11/16/15,Z1 1172,Parking Permit Vio,50,0
11/16/15,Lot Specific 6090,Park/Improper Area,60,0
11/16/15,Z1 1225,Parking Permit Vio,50,0
11/16/15,South Of Sixth 8106,Meter Violation,50,70
11/16/15,Lot Specific 1016,Parking Permit Vio,50,0
11/16/15,North Santa Rita Ave,Parking Permit Vio,50,0
11/16/15,North Santa Rita Ave,Meter Violation,50,70
11/16/15,Helen Zone 1,Park/Improper Area,60,0
11/16/15,Lot Specific 2012,Park/Improper Area,60,0
11/16/15,Student Recreation Center,Prohibited Parking,85,105
11/16/15,Enke Drive,Park/Improper Area,60,80
11/16/15,Enke Drive,Park/Improper Area,60,80
11/16/15,Enke Drive,Park/Improper Area,60,80
11/16/15,Enke Drive,Park/Improper Area,60,80
11/16/15,Enke Drive,Park/Improper Area,60,0
11/16/15,Lot Specific 6098,Park/Improper Area,60,0
11/16/15,Lot Specific 6098,Park/Improper Area,60,80
11/16/15,Lot Specific 6098,Park/Improper Area,60,0
11/16/15,Lot Specific 6098,Park/Improper Area,60,0
11/16/15,Lot Specific 6098,Park/Improper Area,60,80
11/16/15,Lot Specific 6098,Park/Improper Area,60,0
11/16/15,Lot Specific 6098,Park/Improper Area,60,0
11/16/15,Lot Specific 6098,Park/Improper Area,60,0
11/16/15,Lot Specific 6093,Park/Improper Area,60,0
11/16/15,Lot Specific 6093,Park/Improper Area,60,0
11/16/15,Lot Specific 6093,Park/Improper Area,60,80
11/16/15,Lot Specific 6093,Park/Improper Area,60,0
11/16/15,Lot Specific 6093,Park/Improper Area,60,80
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,0
11/16/15,PBC 10003,Prohibited Parking,85,105
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,0
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,0
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,0
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,80
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,0
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,80
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,0
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,0
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,0
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,0
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,0
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,0
11/16/15,Cherry Avenue Garage,Park/Improper Area,60,20
11/16/15,Lot Specific 5072,Parking Permit Vio,50,0
11/16/15,Lot Specific 5072,Parking Permit Vio,50,0
11/16/15,Lot Specific 5072,Parking Permit Vio,50,0
11/16/15,Lot Specific 5072,Parking Permit Vio,50,0
11/16/15,Lot Specific 5072,Parking Permit Vio,50,0
11/16/15,Lot Specific 6093,W/C Space/Access - 1DA,500,520
11/17/15,Main Gate Garage,Parking Permit Vio,50,20
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Parking Permit Vio,50,0
11/17/15,Main Gate Garage,Boot Fee - 1QA,80,0
11/17/15,Sixth Street Garage,Parking Over Line,60,0
11/17/15,Metered Lot 6088,Service Space,60,0
11/17/15,Alley Vine To Cherry,Prohibited Parking,85,0
11/17/15,Svc & Disabled 1142,Service Space,60,0
11/17/15,Lot Specific 4052,Prohibited Parking,85,20
11/17/15,Lot Specific 4052,Prohibited Parking,85,20
11/17/15,Hawthorne,Meter Violation,50,70
11/17/15,Communication/CESL,Service Space,60,0
11/17/15,South Of Sixth 7103,Meter Violation,50,70
11/17/15,South Of Sixth 7103,Meter Violation,50,0
11/17/15,Lot Specific 3039,Parking Permit Vio,50,0
11/17/15,Metered Lot 6088,Meter Violation,50,0
11/17/15,Metered Lot 6088,Meter Violation,50,0
11/17/15,Z1 1232,Parking Permit Vio,50,0
11/17/15,Lot Specific 1157,Parking Permit Vio,50,0
11/17/15,Lot Specific 2012,Park/Improper Area,60,0
11/17/15,Z1 1172,Parking Permit Vio,50,0
11/17/15,Lot Specific 2012,Meter Violation,50,0
11/17/15,Z1 1172,Parking Permit Vio,50,0
11/17/15,Cherry Avenue,Boot Fee - 1QA,80,0
11/17/15,Z1 1225,Parking Permit Vio,50,0
11/17/15,Lot Specific 5072,Meter Violation,50,0
11/17/15,Lot Specific 6093,Parking Permit Vio,50,0
11/17/15,1500 Block Drachman,Parking Permit Vio,50,0
11/17/15,Lot Specific 5072,Parking Permit Vio,50,0
11/17/15,Lot Specific 5072,Parking Permit Vio,50,70
11/17/15,Z1 2030,Parking Permit Vio,50,0
11/17/15,Z1 2030,Parking Permit Vio,50,70
11/17/15,Z1 2147,Parking Permit Vio,50,0
11/17/15,Z1 2030,Parking Permit Vio,50,0
11/17/15,Lot Specific 4052,Parking Permit Vio,50,0
11/17/15,Lot Specific 4052,Parking Permit Vio,50,70
11/17/15,Z1 2030,Meter Violation,50,0
11/17/15,Lot Specific 5067,Parking Permit Vio,50,0
11/17/15,1st Street,Service Space,60,0
11/17/15,College of Nursing,Overtime,50,0
11/17/15,Lot Specific 4057,Parking Permit Vio,50,0
11/17/15,Disabled 2165,Parking Permit Vio,50,0
11/17/15,Lot Specific 5072,Park/Improper Area,60,0
11/17/15,Cherry Avenue,Meter Violation,50,0
11/17/15,Svc & Disabled 5161,Overtime,50,0
11/17/15,Slonaker LD/HC/HR/SV,Meter Violation,50,0
11/17/15,Metered Lot 6088,Meter Violation,50,0
11/17/15,Metered Lot 6088,Meter Violation,50,0
11/17/15,Highland Avenue,Park/Improper Area,60,0
11/17/15,Lot Specific 3039,Park/Improper Area,60,0
11/17/15,Lot Specific 3039,Parking Permit Vio,50,0
11/17/15,Lot Specific 3039,Park/Improper Area,60,0
11/17/15,Lot Specific 6090,Parking Permit Vio,50,0
11/17/15,Lot Specific 6090,Parking Permit Vio,50,0
11/17/15,Svc & Disabled 3140,Overtime,50,0
11/17/15,Lot Specific 6092,Park/Improper Area,60,0
11/17/15,Svc & Disabled 3140,Parking Permit Vio,50,0
11/17/15,Svc & Disabled 3140,Parking Permit Vio,50,0
11/17/15,Lot Specific 6097,Parking Permit Vio,50,0
11/17/15,Second Street Garage,Parking Over Line,60,0
11/17/15,Lot Specific 6098,Parking Permit Vio,50,0
11/17/15,Lot Specific 6098,Parking Permit Vio,50,0
11/17/15,Alley Vine To Cherry,Prohibited Parking,85,0
11/17/15,Alley Vine To Cherry,Service Space,60,0
11/17/15,2nd Street,Meter Violation,50,0
11/17/15,Hawthorne,Meter Violation,50,0
11/17/15,Lot Specific 4052,Park/Improper Area,60,80
11/17/15,Lot Specific 4052,Parking Permit Vio,50,0
11/17/15,Lot Specific 4052,Parking Permit Vio,50,0
11/17/15,Lot Specific 4052,Parking Permit Vio,50,0
11/17/15,South Of Sixth 8178,Parking Permit Vio,50,0
11/17/15,South Of Sixth 8106,Meter Violation,50,0
11/17/15,South Of Sixth 8106,Meter Violation,50,0
11/17/15,Metered Lot 3141,Meter Violation,50,70
11/17/15,Lot Specific 3039,Parking Permit Vio,50,0
11/17/15,Enke Drive,Meter Violation,50,0
11/17/15,Cherry Avenue,Meter Violation,50,70
11/17/15,Lot Specific 6093,Parking Permit Vio,50,0
11/17/15,Park Avenue Garage,Prohibited Parking,85,0
11/17/15,Lot Specific 6093,Parking Permit Vio,50,0
11/17/15,Z1 1172,Parking Permit Vio,50,0
11/17/15,Lot Specific 5072,Meter Violation,50,70
11/17/15,Lot Specific 5072,Park/Improper Area,60,0
11/17/15,Lot Specific 5072,Parking Permit Vio,50,0
11/17/15,Z1 2030,Parking Permit Vio,50,0
11/17/15,Lot Specific 3039,Parking Permit Vio,50,0
11/17/15,Metered Lot 6088,Meter Violation,50,0
11/17/15,Metered Lot 6088,Meter Violation,50,0
11/17/15,South Of Sixth 7105,Parking Permit Vio,50,0
11/17/15,Lot Specific 6090,Meter Violation,50,0
11/17/15,South Of Sixth 7105,Parking Permit Vio,50,0
11/17/15,Lot Specific 6090,Park/Improper Area,60,0
11/17/15,South Of Sixth 8106,Parking Permit Vio,50,0
11/17/15,South Of Sixth 8106,Park/Improper Area,60,0
11/17/15,South Of Sixth 8106,Park/Improper Area,60,0
11/17/15,South Of Sixth 8106,Parking Permit Vio,50,0
11/17/15,South Of Sixth 8106,Parking Permit Vio,50,0
11/17/15,South Of Sixth 8106,Park/Improper Area,60,0
11/17/15,South Of Sixth 8106,Meter Violation,50,0
11/17/15,South Of Sixth 8106,Meter Violation,50,70
11/17/15,Metered Lot 6088,Service Space,60,0
11/17/15,Lot Specific 6090,Park/Improper Area,60,0
11/17/15,Lot Specific 6090,Park/Improper Area,60,0
11/17/15,Lot Specific 6090,Parking Permit Vio,50,0
11/17/15,Lot Specific 6090,Parking Permit Vio,50,0
11/17/15,Lot Specific 6090,Park/Improper Area,60,0
11/17/15,Lot Specific 6090,Parking Permit Vio,50,0
11/17/15,Lot Specific 6090,Parking Permit Vio,50,0
11/17/15,James E Rogers Way,W/C Space/Access - 1DA,500,0
11/17/15,James E Rogers Way,W/C Space/Access - 1DA,500,520
11/17/15,Lot Specific 5072,Parking Permit Vio,50,0
11/17/15,Lot Specific 5072,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,70
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Parking Permit Vio,50,0
11/18/15,Tyndall Ave Garage,Overtime,50,0
11/18/15,Second Street Garage,Parking Permit Vio,50,0
11/18/15,Second Street Garage,Parking Permit Vio,50,0
11/18/15,Second Street Garage,Parking Permit Vio,50,0
11/18/15,Main Gate Garage,Parking Over Line,60,0
11/18/15,Lot Specific 3231,Park/Improper Area,60,0
11/18/15,Svc & Disabled 3140,Overtime,50,70
11/18/15,AHSC,Service Space,60,0
11/18/15,Lot Specific 5072,Meter Violation,50,0
11/18/15,Svc & Disabled 1142,Overtime,50,0
11/18/15,Z1 2243,Prohibited Parking,85,105
11/18/15,Z1 1018,Parking Over Line,60,0
11/18/15,Z1 1018,Park/Improper Area,60,0
11/18/15,Svc & Disabled 5073,Overtime,50,0
11/18/15,Lot Specific 1157,Parking Permit Vio,50,0
11/18/15,Z1 1225,Park/Improper Area,60,0
11/18/15,Z1 1239,Parking Permit Vio,50,0
11/18/15,Lot Specific 1157,Boot Fee - 1QA,80,0
11/18/15,Z1 2021,Parking Permit Vio,50,0
11/18/15,Z1 2030,Parking Permit Vio,50,0
11/18/15,Lot Specific 2012,Park/Improper Area,60,0
11/18/15,Z1 2030,Parking Permit Vio,50,0
11/18/15,Cherry Avenue,Meter Violation,50,0
11/18/15,Z1 2030,Parking Permit Vio,50,0
11/18/15,Cherry Avenue,Meter Violation,50,70
11/18/15,Lot Specific 2012,Park/Improper Area,60,0
11/18/15,Lot Specific 6093,Parking Permit Vio,50,0
11/18/15,Lot Specific 6093,Parking Permit Vio,50,0
11/18/15,Warren Avenue North,Meter Violation,50,0
11/18/15,Lot Specific 2029,Parking Permit Vio,50,0
11/18/15,Lot Specific 2029,Park/Improper Area,60,0
11/18/15,Svc & Disabled 3140,Overtime,50,0
11/18/15,Z1 2030,Meter Violation,50,0
11/18/15,Z1 2030,Meter Violation,50,0
11/18/15,Z1 2030,Meter Violation,50,0
11/18/15,Lot Specific 3039,Parking Permit Vio,50,0
11/18/15,Z1 2030,Meter Violation,50,0
11/18/15,Z1 2030,Meter Violation,50,0
11/18/15,Lot Specific 2029,Parking Permit Vio,50,0
11/18/15,Svc & Disabled 5075,Overtime,50,0
11/18/15,Lot Specific 4052,Parking Permit Vio,50,0
11/18/15,Gould Simpson,Overtime,50,0
11/18/15,Z1 2030,Parking Permit Vio,50,0
11/18/15,Metered Lot 6088,Meter Violation,50,0
11/18/15,Metered Lot 3141,Meter Violation,50,0
11/18/15,Metered Lot 3141,Meter Violation,50,0
11/18/15,Highland Avenue,Service Space,60,0
11/18/15,Lot Specific 2012,Park/Improper Area,60,0
11/18/15,Metered Lot 6088,Meter Violation,50,0
11/18/15,Lot Specific 2012,Parking Permit Vio,50,0
11/18/15,Lot Specific 6090,Parking Permit Vio,50,0
11/18/15,Lot Specific 6090,Parking Permit Vio,50,0
11/18/15,Lot Specific 6090,Parking Permit Vio,50,0
11/18/15,Svc & Disabled 3140,Park/Improper Area,60,0
11/18/15,Svc & Disabled 3140,Parking Permit Vio,50,0
11/18/15,James E Rogers Circle,Prohibited Parking,85,0
11/18/15,1st Street,Meter Violation,50,0
11/18/15,1st Street,Meter Violation,50,0
11/18/15,Gould Simpson,Overtime,50,70
11/18/15,Svc & Disabled 5075,Parking Permit Vio,50,0
11/18/15,Z1 1239,Parking Permit Vio,50,0
11/18/15,Z1 1239,Parking Permit Vio,50,0
11/18/15,Z1 1239,Parking Permit Vio,50,0
11/18/15,Z1 1172,Parking Permit Vio,50,0
11/18/15,South Of Sixth 8110,Parking Permit Vio,50,0
11/18/15,Z1 1172,Parking Permit Vio,50,0
11/18/15,James E Rogers Way,W/C Space/Access - 1DA,500,0
11/18/15,South Of Sixth 8106,Parking Permit Vio,50,70
11/18/15,Lot Specific 5072,Parking Permit Vio,50,0
11/18/15,Lot Specific 5072,Meter Violation,50,70
11/18/15,Lot Specific 5067,Parking Permit Vio,50,0
11/18/15,Lot Specific 5067,Parking Permit Vio,50,0
11/18/15,South Of Sixth 8106,Park/Improper Area,60,0
11/18/15,South Of Sixth 8106,Parking Permit Vio,50,0
11/18/15,South Of Sixth 8106,Parking Permit Vio,50,0
11/18/15,Metered Lot 6088,Meter Violation,50,70
11/18/15,Lot Specific 6093,Prohibited Parking,85,0
11/18/15,Lot Specific 4052,Parking Permit Vio,50,0
11/18/15,Svc & Disabled 5073,Service Space,60,0
11/18/15,Svc & Disabled 5073,Service Space,60,0
11/18/15,Svc & Disabled 5073,Service Space,60,0
11/18/15,Lot Specific 6090,Park/Improper Area,60,0
11/18/15,Lot Specific 6090,Parking Permit Vio,50,0
